nombre_central,tipo_tecnologia,potencia_instalada_mw,provincia
EL TUNAL,Hidroelectrica (Menor a 50 Mw),10.52,SALTA
CABRA CORRAL,Hidroelectrica,100.5,SALTA
CORRALITO,Sin Tecnologia declarada,,SALTA
LOS MADERAS,Hidroelectrica (Menor a 50 Mw),30.6,JUJUY
RIO REYES,Hidroelectrica (Menor a 50 Mw),7,JUJUY
TERMOANDES,Termica,226.7,SALTA
TERMOANDES,Termica,416,SALTA
GUEMES,Termica,100,SALTA
GUEMES,Termica,261,SALTA
SMARTIN TABACAL,Biomasa,,SALTA
LEDESMA,Termica,,JUJUY
ORAN ENARSA,Termica,15,SALTA
PIQUIRENDA,Termica,30.4,SALTA
CADILLAL,Hidroelectrica (Menor a 50 Mw),12.6,TUCUMAN
INDEPENDENCIA,Termica,120,TUCUMAN
PUEBLO VIEJO,Hidroelectrica (Menor a 50 Mw),15,TUCUMAN
TINOGASTA ENARS,Termica,15,CATAMARCA
ING.STA.BARBARA,Biomasa,,TUCUMAN
PLUSPETROL NORT,Termica,232,TUCUMAN
LA PROVIDENCIA,Biomasa,,TUCUMAN
C.T. TUCUMAN,Termica,158.6,TUCUMAN
C.T. TUCUMAN,Termica,288.4,TUCUMAN
S.M. DE TUCUMAN,Termica,151.3,TUCUMAN
S.M. DE TUCUMAN,Termica,230.7,TUCUMAN
ESCABA,Hidroelectrica (Menor a 50 Mw),24,TUCUMAN
ARAUCO EOLICO,Eolica,25.2,LA RIOJA
TEREVINTOS ENAR,Termica,8,CATAMARCA
P.IND.CAT ENARS,Termica,15,CATAMARCA
INTA CATAM ENAR,Termica,7,CATAMARCA
FRIAS,Termica,60,SANTIAGO DEL ESTERO
RIO HONDO,Hidroelectrica (Menor a 50 Mw),17.5,SANTIAGO DEL ESTERO
CHILECITO ENARS,Termica,10,LA RIOJA
LA RIOJA DELIV,Termica,19.2,LA RIOJA
L.RIOJA SUR ENA,Termica,10,LA RIOJA
LA BANDA,Termica,26,SANTIAGO DEL ESTERO
LOS QUIROGA,Hidroelectrica (Menor a 50 Mw),2,SANTIAGO DEL ESTERO
AÑATUYA,Termica,11.5,SANTIAGO DEL ESTERO
AÑATUYA,Termica,19.2,SANTIAGO DEL ESTERO
BANDERA DISTRIB,Termica,32.5,SANTIAGO DEL ESTERO
LA RIOJA,Termica,88,LA RIOJA
LIB. SAN MARTIN,Termica,15.26,JUJUY
L N ALEM ENARSA,Termica,15,MISIONES
A.D.VALL.ENARSA,Termica,15,MISIONES
BARRANQ. DISTRI,Termica,21.7,CHACO
CASTELLI,Termica,15,CHACO
CORRIENTES,Termica,20,CORRIENTES
CHARATA ENARSA,Termica,19.8,CHACO
FORMOSA DELIVER,Termica,30,FORMOSA
CT GOYA ENARSA,Termica,13,CORRIENTES
JUAREZ,Termica,4,FORMOSA
CT ITATI,Termica,7.2,CORRIENTES
PTA CELULOSA,Sin Tecnologia declarada,,MISIONES
LAG. BLANCA,Termica,7,FORMOSA
L.PALMAS ENARSA,Termica,7.2,CHACO
OBERA,Termica,12,MISIONES
PPEL MISIONERO,Sin Tecnologia declarada,,MISIONES
PASO DE LA PATR,Termica,7.2,CORRIENTES
PIRANE,Termica,16.25,FORMOSA
A.P. PTO PIRAY,Biomasa,,MISIONES
SAENZ PEÑA,Termica,20,CHACO
SAENZ PEÑA II,Termica,15,CHACO
S.MART. CHACO,Termica,15,CHACO
STA ROSA CORR,Termica,7.2,CORRIENTES
URUGUA-Ã,Sin Tecnologia declarada,,MISIONES
V.ANGELA ENARSA,Termica,15,CHACO
YACYRETA,Hidroelectrica,2745,
CH LS CORONELES,Hidroelectrica (Menor a 50 Mw),6.64,MENDOZA
AGUA DEL TORO,Hidroelectrica,150,MENDOZA
C.H.CACHEUTA,Hidroelectrica,120,MENDOZA
CARACOLES,Hidroelectrica,121.4,SAN JUAN
CH CARRIZAL,Hidroelectrica (Menor a 50 Mw),17,MENDOZA
C.HOND 1 FOTOVO,Fotovoltaica,2,SAN JUAN
C.H. A.CONDARCO,Hidroelectrica,54.4,MENDOZA
CRUZ DE PIEDRA,Termica,14,MENDOZA
CTA. DEL VIENTO,Hidroelectrica (Menor a 50 Mw),10.55,SAN JUAN
EL TIGRE,Hidroelectrica (Menor a 50 Mw),14,MENDOZA
LOS REYUNOS,Hidroelectrica,224,MENDOZA
LUJAN DE CUYO,Termica,120,MENDOZA
LUJAN DE CUYO,Termica,195.97,MENDOZA
LUJAN DE CUYO,Termica,69.77,MENDOZA
LUJAN DE CUYO,Termica,92496,MENDOZA
LUJAN DE CUYO,Termica,95.32,MENDOZA
NIHUIL 1,Hidroelectrica,72,MENDOZA
NIHUIL 2,Hidroelectrica,110,MENDOZA
NIHUIL 3,Hidroelectrica,42,MENDOZA
NIHUIL 4,Hidroelectrica (Menor a 50 Mw),18,MENDOZA
PUNTA NEGRA,Hidroelectrica,63.28,SAN JUAN
QUEBRADA ULLUM,Hidroelectrica (Menor a 50 Mw),45,SAN JUAN
CH SAN MARTIN,Hidroelectrica (Menor a 50 Mw),6.48,MENDOZA
SARMIENTO SJ,Termica,30,SAN JUAN
ULLUM,Hidroelectrica (Menor a 50 Mw),42,SAN JUAN
ARAUCO EOLICO 2,Eolica,25.2,LA RIOJA
S.JUAN I FOTOVO,Fotovoltaica,1.2,SAN JUAN
C.HOND 2 FOTOVO,Fotovoltaica,3,SAN JUAN
CHIMBE 1 FOTOVO,Fotovoltaica,2,SAN JUAN
ALICURA,Hidroelectrica,1050,NEUQUEN
BARILOCHE ENARS,Termica,20,RIO NEGRO
FILO MORADO,Termica,62.9,NEUQUEN
P.HERNANDEZ YPF,Termica,,NEUQUEN
AG. LOMITAS,Termica,,NEUQUEN
EL TRAPIAL,Termica,,NEUQUEN
USINA CAMPAMENTO,Sin Tecnologia declarada,,NEUQUEN
RINCON SAUCES,Termica,32,NEUQUEN
ENTRE LOMAS,Termica,,RIO NEGRO
TERMOROCA,Termica,133.13,RIO NEGRO
TERMOROCA,Termica,60,RIO NEGRO
CIPOLLETTI,Hidroelectrica (Menor a 50 Mw),5.4,RIO NEGRO
CIPOLLETI (ENA,Termica,5,RIO NEGRO
JULIAN ROMERO,Hidroelectrica (Menor a 50 Mw),6.2,RIO NEGRO
IMEXTRADE,Sin Tecnologia declarada,,RIO NEGRO
CAPEX AUTOPROD.,Termica,176.1,NEUQUEN
CAPEX AUTOPROD.,Termica,301,NEUQUEN
ALTO VALLE,Termica,16,NEUQUEN
ALTO VALLE,Termica,30,NEUQUEN
ALTO VALLE,Termica,50,NEUQUEN
ARROYITO,Hidroelectrica,127.8,NEUQUEN
PLAZA HUINCUL,Termica,,NEUQUEN
REALICO,Termica,24,LA PAMPA
SALTO ANDERSEN,Hidroelectrica (Menor a 50 Mw),7.9,RIO NEGRO
CT NEUQUEN,Termica,105,NEUQUEN
CT NEUQUEN,Termica,180,NEUQUEN
CT NEUQUEN,Termica,375,NEUQUEN
P. BANDERITA,Hidroelectrica,472,NEUQUEN
CHOCON,Hidroelectrica,1290,NEUQUEN
CESPEDES,Hidroelectrica (Menor a 50 Mw),5.2,RIO NEGRO
PICHI P. LEUFU,Hidroelectrica,285,RIO NEGRO
PIEDRA D AGUILA,Hidroelectrica,1440,NEUQUEN
CASA DE PIEDRA,Hidroelectrica,60,RIO NEGRO
RIO CHICO,Termica,50,SANTA CRUZ
RIO CHICO DI,Termica,,SANTA CRUZ
RIO TURBIO,Termica,,SANTA CRUZ
HUEMUL SINOPEC,Termica,,SANTA CRUZ
FUTALEUFU,Hidroelectrica,560,CHUBUT
YPF LOS PERALES,Termica,,SANTA CRUZ
PICO TRUNCADO 1,Termica,45,SANTA CRUZ
ALUAR,Termica,37,CHUBUT
ALUAR,Termica,76,CHUBUT
EL TORDILLO,Eolica,3,CHUBUT
DIADEMA EOLICO,Eolica,6.3,CHUBUT
C.T. PATAGONIA,Termica,48.7,CHUBUT
C.T. PATAGONIA,Termica,76.4,CHUBUT
CDRO RIVADAVIA,Termica,73,CHUBUT
RAWSONI ENARSA,Eolica,52.5,CHUBUT
L.BLANC 4 ENARS,Eolica,50,CHUBUT
F. AMEGHINO,Hidroelectrica (Menor a 50 Mw),46.8,CHUBUT
MESETA ESPINOSA,Termica,,SANTA CRUZ
RAWSONII ENARSA,Eolica,31.15,CHUBUT
S. GRANDE ARG,Hidroelectrica,945,ENTRE RIOS
LA PAZ E.RIOS,Termica,10.8,ENTRE RIOS
VIALE E. RÍOS,Termica,10,ENTRE RIOS
BRIGAD. LOPEZ,Termica,280,SANTA FE
S.SALVADOR ERIO,Termica,10.8,ENTRE RIOS
CERES ENARSA,Termica,18,SANTA FE
RAFAELA,Termica,19.2,SANTA FE
CT TIMBUES(GSMA,Termica,280.3,SANTA FE
CT TIMBUES(GSMA,Termica,584.84,SANTA FE
CT VUELTA OBLIG,Termica,280,SANTA FE
CT VUELTA OBLIG,Termica,566565,SANTA FE
V. TUERTO DELIV,Termica,19.2,SANTA FE
RUFINO STA FE,Termica,31.9,SANTA FE
SULFACID,Sin Tecnologia declarada,,SANTA FE
MOLINOS AUTOG.,Termica,,SANTA FE
SORRENTO,Termica,217,SANTA FE
SAN ROQUE,Hidroelectrica (Menor a 50 Mw),24,CORDOBA
SUD OESTE,Termica,100,CORDOBA
LA VINIA,Hidroelectrica (Menor a 50 Mw),16,CORDOBA
BENJAMIN REOLIN,Hidroelectrica (Menor a 50 Mw),33,CORDOBA
PIEDRAS MORAS,Hidroelectrica (Menor a 50 Mw),6.3,CORDOBA
CASSAFOUSTH,Hidroelectrica (Menor a 50 Mw),16.2,CORDOBA
FITZ SIMON,Hidroelectrica (Menor a 50 Mw),10.5,CORDOBA
MARANZANA,Termica,120,CORDOBA
MARANZANA,Termica,60,CORDOBA
MARANZANA,Termica,68,CORDOBA
MARANZANA,Termica,94961,CORDOBA
EMBALSE,Nuclear,648,CORDOBA
RIO GRANDE,Hidroelectrica,750,CORDOBA
DEAN FUNES,Termica,32,CORDOBA
PILAR,Termica,136,CORDOBA
PILAR,Termica,330,CORDOBA
SAN FRANCISCO,Termica,39,CORDOBA
MARIO SEVESO,Termica,,CORDOBA
LOS MOLINOS,Hidroelectrica,52,CORDOBA
LOS MOLINOS 2,Hidroelectrica (Menor a 50 Mw),4.5,CORDOBA
VILLA MARIA,Termica,48,CORDOBA
BELL VILLE,Termica,15.6,CORDOBA
LEVALLE,Termica,46,CORDOBA
ISLA VERDE,Termica,24.5,CORDOBA
13 DE julio,Termica,26,CORDOBA
CO. ARGENER,Termica,163.3,BUENOS AIRES
ARRECIFES ENARS,Termica,20,BUENOS AIRES
ATUCHA II,Nuclear,745,BUENOS AIRES
ATUCHA,Nuclear,362,BUENOS AIRES
COLON BSAS,Termica,15.3,BUENOS AIRES
LINCOLN,Termica,15,BUENOS AIRES
VILLEGAS ENARSA,Termica,23.5,BUENOS AIRES
NECOCHEA,Termica,204,BUENOS AIRES
MAR DEL PLATA,Termica,120.88,BUENOS AIRES
MAR DEL PLATA,Termica,56,BUENOS AIRES
MIRAMAR I ENARS,Termica,20,BUENOS AIRES
BAHIA BLANCA,Termica,620,BUENOS AIRES
ECOENERG CERRI,Termica,13.2,BUENOS AIRES
SOLALBAN,Termica,,BUENOS AIRES
GUILLERMO BROWN,Termica,582.6,BUENOS AIRES
AES-PARANA,Termica,24.25,BUENOS AIRES
AES-PARANA,Termica,319.3,BUENOS AIRES
AES-PARANA,Termica,525.96,BUENOS AIRES
SAN NICOLAS,Termica,25,BUENOS AIRES
SAN NICOLAS,Termica,650,BUENOS AIRES
ACEROS PARANA,Termica,,BUENOS AIRES
JUNIN,Termica,22,BUENOS AIRES
CAPITAN SARMIEN,Termica,5,BUENOS AIRES
SIDERCA,Sin Tecnologia declarada,,BUENOS AIRES
LOBOS ENARSA,Termica,19.68,BUENOS AIRES
GRAL BELGRANO,Termica,285.98,BUENOS AIRES
GRAL BELGRANO,Termica,587.02,BUENOS AIRES
MAR DE AJO,Termica,30,BUENOS AIRES
VILLA GESELL,Termica,45,BUENOS AIRES
VILLA GESELL,Termica,80,BUENOS AIRES
ALTE BROWN ENAR,Termica,25,BUENOS AIRES
MAGDALENA ENARS,Termica,25,BUENOS AIRES
ENSE. BARRAGAN,Termica,567,BUENOS AIRES
CO. ENSENADA,Termica,128,BUENOS AIRES
LA PLATA,Termica,40.4,BUENOS AIRES
DIQUE,Termica,55,BUENOS AIRES
