identificador,provincia,departamento,municipio
SFE115-01,Santa Fe,Nueve de Julio,Esteban Rams
MZA016-01,Mendoza,Santa Rosa,Santa Rosa
MZA016-02,Mendoza,Santa Rosa,Santa Rosa
MZA016-03,Mendoza,Santa Rosa,Santa Rosa
CBA221-01,Córdoba,Juarez Celman,Los Cisnes
BUE133-01,Buenos Aires,Villarino,Villarino
BUE133-02,Buenos Aires,Villarino,Villarino
BUE066-01,Buenos Aires,La Plata,La Plata
BUE066-02,Buenos Aires,La Plata,La Plata
BUE066-03,Buenos Aires,La Plata,La Plata
BUE066-04,Buenos Aires,La Plata,La Plata
BUE066-05,Buenos Aires,La Plata,La Plata
BUE066-06,Buenos Aires,La Plata,La Plata
BUE066-07,Buenos Aires,La Plata,La Plata
SFE005-01,Santa Fe,Constitucion,Alcorta
CHA046-01,Chaco,General Güemes,Miraflores
JUJ023-01,Jujuy,Tilcara,Huacalera
SJU003-01,San Juan,Calingasta,Calingasta
SJU003-02,San Juan,Calingasta,Calingasta
BUE089-01,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-02,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-03,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-04,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-05,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-06,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-07,Buenos Aires,Nueve de Julio,Nueve de Julio
BUE089-08,Buenos Aires,Nueve de Julio,Nueve de Julio
MIS059-01,Misiones,Iguazu,Puerto Iguazú
MIS059-02,Misiones,Iguazu,Puerto Iguazú
MIS059-03,Misiones,Iguazu,Puerto Iguazú
MIS059-04,Misiones,Iguazu,Puerto Iguazú
MIS059-05,Misiones,Iguazu,Puerto Iguazú
MIS059-06,Misiones,Iguazu,Puerto Iguazú
MIS059-07,Misiones,Iguazu,Puerto Iguazú
SAL018-01,Salta,Anta,El Quebrachal
SCR018-01,Santa Cruz,Lago Argentino,El Chaltén
SCR018-02,Santa Cruz,Lago Argentino,El Chaltén
MIS032-01,Misiones,Iguazu,Esperanza
MIS032-02,Misiones,Iguazu,Esperanza
BUE111-01,Buenos Aires,San Andres de Giles,San Andrés de Giles
SFE199-01,Santa Fe,General Obligado,Los Laureles
CBA301-01,Córdoba,Rio Segundo,Rincón
CHU011-01,Chubut,Cushamen,Cushamen
SFE325-01,Santa Fe,Castellanos,Sunchales
LAP034-01,La Pampa,Chapaleufu,Intendente Alvear
LAP034-02,La Pampa,Chapaleufu,Intendente Alvear
COR002-01,Corrientes,Bella Vista,Bella Vista
MZA015-01,Mendoza,San Rafael,San Rafael
MZA001-01,Mendoza,General Alvear,General Alvear
BUE067-01,Buenos Aires,Lanus,Lanús
BUE067-02,Buenos Aires,Lanus,Lanús
BUE067-03,Buenos Aires,Lanus,Lanús
BUE067-04,Buenos Aires,Lanus,Lanús
BUE067-05,Buenos Aires,Lanus,Lanús
BUE067-06,Buenos Aires,Lanus,Lanús
BUE067-07,Buenos Aires,Lanus,Lanús
BUE067-08,Buenos Aires,Lanus,Lanús
BUE067-09,Buenos Aires,Lanus,Lanús
BUE067-10,Buenos Aires,Lanus,Lanús
BUE067-11,Buenos Aires,Lanus,Lanús
BUE067-12,Buenos Aires,Lanus,Lanús
BUE067-13,Buenos Aires,Lanus,Lanús
SFE038-01,Santa Fe,San Javier,Cacique Ariacaiquín
MIS070-01,Misiones,Candelaria,Santa Ana
RNO017-01,Río Negro,General Roca,General Fernández Oro
RNO017-02,Río Negro,General Roca,General Fernández Oro
SFE243-01,Santa Fe,Castellanos,Presidente Roca
TUC088-01,Tucumán,Trancas,San Pedro de Colalao
CBA419-01,Córdoba,Santa Maria,Villa San Isidro
SFE101-01,Santa Fe,Castellanos,Egusquiza
CHU029-01,Chubut,Martires,Las Plumas
SGO068-01,Santiago del Estero,Guasayan,San Pedro de Guasayán
MIS012-01,Misiones,Obera,Campo Viera
CBA100-01,Córdoba,Capital,Córdoba
CBA100-02,Córdoba,Capital,Córdoba
CBA100-03,Córdoba,Capital,Córdoba
CBA100-04,Córdoba,Capital,Córdoba
SAL054-01,Salta,Molinos,Seclantás
CHA002-01,Chaco,San Fernando,Barranqueras
CHA002-02,Chaco,San Fernando,Barranqueras
CHA002-03,Chaco,San Fernando,Barranqueras
CBA051-01,Córdoba,Ischilin,Cañada de Río Pinto
RNO065-01,Río Negro,Nueve de Julio,Prahuaniyeu
BUE088-01,Buenos Aires,Necochea,Necochea
BUE088-02,Buenos Aires,Necochea,Necochea
BUE031-01,Buenos Aires,Coronel Pringles,Coronel Pringles
BUE031-02,Buenos Aires,Coronel Pringles,Coronel Pringles
BUE031-03,Buenos Aires,Coronel Pringles,Coronel Pringles
BUE031-04,Buenos Aires,Coronel Pringles,Coronel Pringles
BUE031-05,Buenos Aires,Coronel Pringles,Coronel Pringles
BUE031-06,Buenos Aires,Coronel Pringles,Coronel Pringles
CBA364-01,Córdoba,Tercero Arriba,Tancacha
COR019-01,Corrientes,Santo Tome,Garruchos
SFE318-01,Santa Fe,La Capital,Sauce Viejo
BUE057-01,Buenos Aires,General Villegas,General Villegas
JUJ030-01,Jujuy,Rinconada,Mina Pirquitas
JUJ030-02,Jujuy,Rinconada,Mina Pirquitas
SLU007-01,San Luis,Gobernador Dupuy,Batavia
BUE124-01,Buenos Aires,Tordillo,Tordillo
BUE056-01,Buenos Aires,General Viamonte,General Viamonte
BUE056-02,Buenos Aires,General Viamonte,General Viamonte
TUC006-01,Tucumán,Chicligasta,Alto Verde y los Gucheas
NEU045-01,Neuquén,Confluencia,Villa el Chocón
BUE131-01,Buenos Aires,Vicente Lopez,Vicente López
BUE131-02,Buenos Aires,Vicente Lopez,Vicente López
BUE131-03,Buenos Aires,Vicente Lopez,Vicente López
BUE131-04,Buenos Aires,Vicente Lopez,Vicente López
BUE131-05,Buenos Aires,Vicente Lopez,Vicente López
BUE131-06,Buenos Aires,Vicente Lopez,Vicente López
BUE131-07,Buenos Aires,Vicente Lopez,Vicente López
BUE131-08,Buenos Aires,Vicente Lopez,Vicente López
BUE131-09,Buenos Aires,Vicente Lopez,Vicente López
BUE131-10,Buenos Aires,Vicente Lopez,Vicente López
BUE131-11,Buenos Aires,Vicente Lopez,Vicente López
BUE131-12,Buenos Aires,Vicente Lopez,Vicente López
BUE131-13,Buenos Aires,Vicente Lopez,Vicente López
BUE131-14,Buenos Aires,Vicente Lopez,Vicente López
BUE131-15,Buenos Aires,Vicente Lopez,Vicente López
BUE131-16,Buenos Aires,Vicente Lopez,Vicente López
BUE131-17,Buenos Aires,Vicente Lopez,Vicente López
BUE131-18,Buenos Aires,Vicente Lopez,Vicente López
BUE131-19,Buenos Aires,Vicente Lopez,Vicente López
BUE131-20,Buenos Aires,Vicente Lopez,Vicente López
BUE131-21,Buenos Aires,Vicente Lopez,Vicente López
BUE131-22,Buenos Aires,Vicente Lopez,Vicente López
BUE102-01,Buenos Aires,Ramallo,Ramallo
RNO037-01,Río Negro,Adolfo Alsina,Viedma
RNO037-02,Río Negro,Adolfo Alsina,Viedma
RNO037-03,Río Negro,Adolfo Alsina,Viedma
RNO037-04,Río Negro,Adolfo Alsina,Viedma
RNO037-05,Río Negro,Adolfo Alsina,Viedma
RNO037-06,Río Negro,Adolfo Alsina,Viedma
RNO037-07,Río Negro,Adolfo Alsina,Viedma
CBA171-01,Córdoba,Punilla,La Falda
CBA171-02,Córdoba,Punilla,La Falda
CBA171-03,Córdoba,Punilla,La Falda
CHA059-01,Chaco,Quitilipi,Quitilipi
CHA059-02,Chaco,Quitilipi,Quitilipi
CHA059-03,Chaco,Quitilipi,Quitilipi
SAL006-01,Salta,Cafayate,Cafayate
SAL006-02,Salta,Cafayate,Cafayate
SAL006-03,Salta,Cafayate,Cafayate
COR026-01,Corrientes,Itati,Itatí
