indice_tiempo,importado,nacional
2003-01-01,3469,3700
2003-02-01,3139,3240
2003-03-01,3565,3660
2003-04-01,4986,4225
2003-05-01,6101,5123
2003-06-01,7516,5318
2003-07-01,9039,5301
2003-08-01,9208,5666
2003-09-01,11529,7208
2003-10-01,10306,6765
2003-11-01,11196,6706
2003-12-01,10744,7930
2004-01-01,14824,7310
2004-02-01,13877,6441
2004-03-01,15348,9539
2004-04-01,15316,9620
2004-05-01,18270,9559
2004-06-01,18298,9404
2004-07-01,18322,8847
2004-08-01,17782,10410
2004-09-01,17400,9770
2004-10-01,17586,8777
2004-11-01,17596,9191
2004-12-01,18770,9704
2005-01-01,20244,11620
2005-02-01,18233,8954
2005-03-01,22608,12434
2005-04-01,21450,12397
2005-05-01,21360,12338
2005-06-01,21925,12624
2005-07-01,20675,12495
2005-08-01,27835,11888
2005-09-01,23363,12601
2005-10-01,20022,11663
2005-11-01,21296,13409
2005-12-01,20397,10859
2006-01-01,27258,12012
2006-02-01,22263,13570
2006-03-01,22381,15388
2006-04-01,22717,14280
2006-05-01,22226,15202
2006-06-01,21433,16060
2006-07-01,21545,14583
2006-08-01,23129,16788
2006-09-01,22488,16849
2006-10-01,25129,15902
2006-11-01,20717,17405
2006-12-01,20713,20440
2007-01-01,28181,17524
2007-02-01,27985,15474
2007-03-01,26210,19520
2007-04-01,25690,19464
2007-05-01,24651,19139
2007-06-01,27525,18280
2007-07-01,31236,19332
2007-08-01,28406,20242
2007-09-01,27728,19882
2007-10-01,28671,21296
2007-11-01,26678,21514
2007-12-01,27611,22687
2008-01-01,33243,21928
2008-02-01,32079,15328
2008-03-01,35285,22006
2008-04-01,36072,23079
2008-05-01,35229,24048
2008-06-01,32470,19738
2008-07-01,31292,23516
2008-08-01,34014,19967
2008-09-01,31121,22038
2008-10-01,29293,18726
2008-11-01,21975,13642
2008-12-01,21232,14449
2009-01-01,18021,15678
2009-02-01,22416,10679
2009-03-01,22382,14698
2009-04-01,23064,16476
2009-05-01,23913,16959
2009-06-01,26353,16612
2009-07-01,24335,19136
2009-08-01,24964,17589
2009-09-01,24383,18186
2009-10-01,25896,18734
2009-11-01,24169,17649
2009-12-01,28514,16336
2010-01-01,34254,15790
2010-02-01,31252,18132
2010-03-01,35593,19082
2010-04-01,30633,19302
2010-05-01,32964,20625
2010-06-01,38088,22852
2010-07-01,30690,22945
2010-08-01,37947,23652
2010-09-01,41461,22453
2010-10-01,38031,22977
2010-11-01,42627,27510
2010-12-01,42227,27212
2011-01-01,38491,19440
2011-02-01,40221,16236
2011-03-01,46240,24343
2011-04-01,47011,23771
2011-05-01,49611,26385
2011-06-01,43499,30203
2011-07-01,44209,28275
2011-08-01,49305,31825
2011-09-01,49508,33564
2011-10-01,50586,31712
2011-11-01,45587,30473
2011-12-01,54287,28568
2012-01-01,43504,19437
2012-02-01,40209,23650
2012-03-01,38455,29600
2012-04-01,38992,26768
2012-05-01,36307,28439
2012-06-01,43942,28572
2012-07-01,35383,31231
2012-08-01,39400,34195
2012-09-01,35326,30335
2012-10-01,38948,28654
2012-11-01,39311,31077
2012-12-01,52284,36039
2013-01-01,36778,21292
2013-02-01,42566,25130
2013-03-01,42753,34432
2013-04-01,52250,33283
2013-05-01,54390,31256
2013-06-01,57112,31429
2013-07-01,51935,29490
2013-08-01,58075,30847
2013-09-01,52719,32581
2013-10-01,51921,29437
2013-11-01,45503,29771
2013-12-01,59333,29634
2014-01-01,30740,16026
2014-02-01,33524,21269
2014-03-01,26220,23527
2014-04-01,27963,23383
2014-05-01,27285,23363
2014-06-01,27850,25281
2014-07-01,29727,24457
2014-08-01,26134,24978
2014-09-01,33670,26647
2014-10-01,27169,20459
2014-11-01,21672,19708
2014-12-01,29289,23507
2015-01-01,18790,15338
2015-02-01,23268,20806
2015-03-01,28291,24485
2015-04-01,25502,20861
2015-05-01,30806,22480
2015-06-01,34021,27200
2015-07-01,28347,28129
2015-08-01,33628,25964
2015-09-01,32296,30308
2015-10-01,26294,28183
2015-11-01,26225,28352
2015-12-01,15402,20704
2016-01-01,32405,18243
2016-02-01,33792,19784
2016-03-01,34505,28264
2016-04-01,36356,25363
2016-05-01,36850,25126
2016-06-01,40663,25041
2016-07-01,31651,22624
2016-08-01,40823,25555
2016-09-01,43201,26683
2016-10-01,33735,24379
2016-11-01,39215,25239
2016-12-01,49071,24991
2017-01-01,35444,19095
2017-02-01,49425,17634
2017-03-01,51354,19768
2017-04-01,48540,21735
2017-05-01,58205,23652
2017-06-01,56914,25634
2017-07-01,52806,22029
2017-08-01,55419,23645
2017-09-01,54173,24188
2017-10-01,52675,23977
2017-11-01,56692,24296
2017-12-01,66800,25521
2018-01-01,48615,17739
2018-02-01,55015,20322
2018-03-01,57304,24306
2018-04-01,51181,23417
2018-05-01,55440,21695
2018-06-01,40510,15910
2018-07-01,34183,13400
2018-08-01,37566,16297
2018-09-01,31507,12241
2018-10-01,26415,11885
2018-11-01,21098,13035
2018-12-01,34112,15171
2019-01-01,22813,8206
2019-02-01,22740,8687
2019-03-01,23675,11052
2019-04-01,19903,9289
2019-05-01,19914,8033
